ticket_id,subject,body,category,resolution
BIL-DUP-01,I was charged twice for my monthly plan,I renewed my Plus subscription this morning and my credit card now shows two charges for the exact same amount. I only clicked the payment button once and did not receive any message about a failed attempt.,billing,Confirmed one charge settled and the second was a duplicate capture. Refunded the extra payment and emailed the customer a refund confirmation.
BIL-DUP-02,Duplicate debit after renewing subscription,"After my subscription renewal completed, my bank app showed a second pending debit a few seconds later. I am trying to confirm whether one of those charges will drop off or if I need a refund.",billing,Verified the second transaction was only a temporary authorization. Advised the customer it will automatically disappear within 3 to 5 business days.
BIL-DUP-03,Two identical billing transactions on my card,"My statement lists two identical transactions for the same invoice number. The portal says the account is paid, but I need help reversing the extra payment because this was not intentional.",billing,Matched both transactions to the same invoice and issued a refund for the duplicate charge. Billing notes updated for audit tracking.
BIL-DUP-04,Why do I see the same invoice paid twice?,"I can see one successful invoice in the account portal, yet my card issuer sent two payment notifications. Please check whether the second payment was captured or if it is just an authorization hold.",billing,Found one completed payment and one pending authorization. Shared the expected release timeline and reopened the case if it does not clear.
BIL-REF-01,Refund still has not reached my bank account,"I cancelled the order last week and received an email saying the refund was processed. The funds are still missing from my card account, so I want to know the expected settlement time.",billing,Explained that refunds can take 5 to 10 business days depending on the bank. Shared the refund reference number for the customer to track with their issuer.
BIL-REF-02,Checking status of refund for returned order,"Your team approved a refund after I returned the item, but there has been no credit on my statement. Please let me know whether the refund is delayed or if more action is required from me.",billing,Verified the refund was successfully submitted to the payment processor. Provided the processing window and advised the customer to contact the bank after that period.
BIL-REF-03,When will my refund post after cancellation?,"The order was cancelled before shipment and I was told a refund would be sent immediately. It has been several days, and I need an update because I used a debit card.",billing,Confirmed cancellation refund was queued on the same day. Sent the payment processor ARN so the bank can trace the incoming credit.
BIL-REF-04,Refund email received but money not back yet,"I already have the refund confirmation number from support, but my bank balance has not changed. Could you confirm when the amount should appear on the original payment method?",billing,Reviewed the refund event in the billing system and confirmed no failure occurred. Communicated the standard settlement timeline and next steps.
BIL-INV-01,Need VAT invoice for last purchase,I purchased equipment for work and need a VAT invoice that includes the company billing address. The receipt in the portal is not detailed enough for reimbursement.,billing,Generated a corrected VAT invoice with the business billing address and uploaded it to the customer portal.
BIL-INV-02,Invoice PDF missing company address details,The invoice PDF available in my account only shows my name and not the company address I added during checkout. Please help me obtain a corrected invoice for finance records.,billing,Updated the billing profile details and reissued the invoice PDF with the requested company information.
BIL-INV-03,How can I download an invoice for accounting?,"I need to send a formal invoice to our accounting department, but I can only find the basic order confirmation email. Please share where to download the full invoice document.",billing,Directed the customer to the invoice download page and emailed the invoice copy as a backup.
BIL-INV-04,Tax invoice requested for business reimbursement,"This order was made on behalf of my employer, and reimbursement requires a tax invoice with itemized lines. Could you provide the correct invoice version or reissue it?",billing,Created an itemized tax invoice for the order and sent it to the customer email on file.
